name,params
асботекстолит,"листовая марки а, б, г, толщина 30 мм"
асбест,"асбестовая гидроизоляционная, марка БГ-М, БГ-К, толщина 0,65 мм"
асбест,бумага теплоизоляционная марка БТ толщина от 0.65 до 1.5 мм
асбест,"bumagа теплоизоляционная бт, толщина 1 мм"
асбест,"бумага теплоизоляционная бт, толщина 1,5 мм"
асбест,"бумага теплоизоляционная бт, толщина 0,65 мм"
асбест,"бумага электроизоляционная бэ, толщина 0,2-0,3 мм"
асбест,"бомажная электроизоляционная бэ, толщина 0,4-0,5 мм"
асбест,картон асбестовый общего назначения марка Каон-1 толщина 3 мм
набивка,"пропитанные асбесто сквозного плетения, квадратные, марка АП-31, размер 4-5 мм"
скважность,"набивки пропитанные асбесто сквозного плетения, квадратные, марка ap-31, размер 6-14 мм"
асбест,"сухие асбестовые с однослойным оплетением сердечника, круглые, квадратные, марка асс, размер 4-5 мм"
хризотилцемент,"смешанная сухая, марка m300"
фибра,из полипропиленового волокна армирующая для бетонов
прокладка,"из паронита ПМБ, толщина 1 мм, диаметр 50 мм"
прокладка,"из паронита ПМБ, толщина 1 мм, диаметр 100 мм"
прокладка,"из паронита ПМБ, толщина 1 мм, диаметр 150 мм"
прокладка,"из паронита ПМБ, толщина 1 мм, диаметр 200 мм"
прокладка,"из паронита ПМБ, толщина 1 мм, диаметр 250 мм"
прокладка,"из паронита ПМБ, толщина 1 мм, диаметр 300 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 300 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 400 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 50 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 80 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 100 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 150 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 200 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 300 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 400 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 500 мм"
прокладка,"паронитовые для опорного кронштейна, размеры 77,5х50х2 мм"
прокладка,"паронитовые для опорного кронштейна, размеры 90х40х2 мм"
прокладка,"паронитовые для опорного кронштейна, размеры 138х40х2 мм"
кронштейн,"паронитовые прокладки для опорного усиленного, размеры 150х90х2 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 15 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 20 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 25 мм"
прокладки,"из паронита пмб, толщина 2 мм, диаметр 32 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 40 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 50 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 65 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 80 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 100 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 125 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 150 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 200 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 250 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 300 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 350 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 400 мм"
прокладка,"из паронита ПМБ, толщина 2 мм, диаметр 900 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 15 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 20 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 25 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 32 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 40 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 50 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 65 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 80 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 100 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 125 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 150 мм"
прокладка,"из паронита ПМБ, толщина 3 мм, диаметр 200 мм"
прокладки,"из паронита ПМБ, толщина 3 мм, диаметр 250 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 15 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 20 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 25 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 32 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 40 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 65 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 125 мм"
прокладка,"из паронита ПМБ, толщина 4 мм, диаметр 250 мм"
